id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
133,Route C,WH4,6.1,0,None,2024-10-20
134,Route D,WH4,4.2,112,Traffic,2024-11-12
135,Route C,WH1,5.9,154,Weather,2024-10-04
136,Route B,WH3,8.0,167,Staff,2024-11-13
137,Route D,WH4,5.1,40,Staff,2024-11-18
138,Route D,WH3,7.4,0,None,2024-11-26
139,Route B,WH1,5.7,54,Traffic,2024-09-19
140,Route C,WH2,6.6,0,None,2024-10-28
141,Route B,WH3,4.7,143,Traffic,2024-11-27
142,Route D,WH4,6.7,180,Traffic,2024-09-27
143,Route A,WH3,4.2,91,Weather,2024-11-24
144,Route D,WH4,6.9,32,Staff,2024-10-06
145,Route B,WH3,6.7,77,Traffic,2024-11-24
146,Route B,WH2,7.9,0,None,2024-11-03
147,Route A,WH3,6.1,106,Traffic,2024-10-15
148,Route A,WH4,4.7,0,None,2024-09-17
149,Route C,WH3,4.3,32,Staff,2024-10-11
150,Route A,WH1,5.7,176,Weather,2024-09-12
151,Route D,WH2,5.2,14,Traffic,2024-10-21
152,Route B,WH2,5.9,0,None,2024-09-12
153,Route B,WH2,5.2,0,None,2024-09-25
154,Route B,WH4,4.1,0,None,2024-10-22
155,Route B,WH1,6.2,0,None,2024-11-27
156,Route D,WH3,4.1,0,None,2024-11-14
157,Route C,WH1,5.6,18,Staff,2024-11-13
158,Route A,WH1,4.4,176,Staff,2024-09-23
159,Route B,WH2,7.0,114,Traffic,2024-10-25
160,Route A,WH2,7.8,159,Weather,2024-09-25
161,Route A,WH4,6.5,112,Traffic,2024-09-01
162,Route D,WH1,7.7,25,Traffic,2024-11-28
163,Route B,WH4,6.2,123,Weather,2024-10-22
164,Route A,WH2,4.2,59,Staff,2024-10-04
165,Route C,WH3,3.1,139,Weather,2024-11-13
166,Route D,WH3,3.8,0,None,2024-09-14
167,Route C,WH1,7.8,0,None,2024-09-20
168,Route D,WH4,4.8,0,None,2024-11-16
169,Route D,WH1,5.8,106,Weather,2024-11-15
170,Route C,WH1,3.5,0,None,2024-10-31
171,Route A,WH3,3.3,0,None,2024-11-12
172,Route C,WH2,3.8,0,None,2024-10-14
173,Route D,WH1,6.2,84,Staff,2024-11-09
174,Route C,WH3,6.4,18,Traffic,2024-11-28
175,Route B,WH3,6.1,26,Staff,2024-09-16
176,Route D,WH2,7.4,0,None,2024-11-13
177,Route C,WH1,6.0,117,Weather,2024-10-24
178,Route A,WH1,3.9,32,Weather,2024-11-15
179,Route B,WH4,7.0,17,Weather,2024-09-27
180,Route D,WH4,4.2,53,Staff,2024-09-18
181,Route D,WH2,4.4,58,Traffic,2024-11-10
182,Route B,WH4,4.6,81,Traffic,2024-11-05
183,Route D,WH1,4.7,0,None,2024-11-27
184,Route A,WH3,5.2,49,Traffic,2024-10-12
185,Route C,WH4,6.6,141,Staff,2024-11-03
186,Route C,WH3,7.2,0,None,2024-10-12
187,Route C,WH2,5.0,114,Traffic,2024-09-11
188,Route B,WH1,6.8,0,None,2024-10-26
189,Route D,WH3,6.4,121,Traffic,2024-09-09
190,Route C,WH2,3.9,21,Staff,2024-11-28
191,Route B,WH2,7.0,153,Weather,2024-09-12
192,Route A,WH3,4.5,158,Traffic,2024-09-18
193,Route C,WH4,4.5,42,Traffic,2024-11-06
194,Route D,WH2,7.7,95,Staff,2024-09-09
195,Route B,WH1,3.0,0,None,2024-09-03
196,Route A,WH2,3.9,0,None,2024-09-02
197,Route B,WH1,8.0,0,None,2024-10-18
198,Route D,WH1,7.2,0,None,2024-11-20
199,Route A,WH2,6.8,0,None,2024-09-11
200,Route C,WH3,4.2,49,Weather,2024-09-27
